epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,5975.86,0.2342,0.2092,0.29162,0.81229,0,0.99765,0.9967,0.995,0.99055,0.99765,0.9967,0.995,0.94241,0.14236,0.23002,0.22993,0.65925,0,0.000557,0.000557,0.000557
30,6140.17,0.23303,0.2128,0.28255,0.81577,0,0.99783,0.99673,0.995,0.99019,0.99783,0.99673,0.995,0.9409,0.16468,0.23015,0.21746,0.66567,0,0.00053225,0.00053225,0.00053225
31,6302.4,0.22687,0.20824,0.2669,0.80941,0,0.99772,0.99624,0.995,0.98819,0.99772,0.99624,0.995,0.95097,0.17303,0.21961,0.24168,0.66891,0,0.0005075,0.0005075,0.0005075
32,6459.7,0.2215,0.20921,0.27089,0.81352,0,0.9981,0.99655,0.995,0.98923,0.9981,0.99655,0.995,0.9451,0.15128,0.22366,0.22215,0.65667,0,0.00048275,0.00048275,0.00048275
33,6620.07,0.21498,0.1966,0.25598,0.80946,0,0.99726,0.99691,0.995,0.98984,0.99726,0.99691,0.995,0.98879,0.14564,0.23986,0.20559,0.65698,0,0.000458,0.000458,0.000458
34,6885.58,0.21395,0.1902,0.26136,0.81112,0,0.99775,0.99653,0.995,0.99174,0.99775,0.99653,0.995,0.94736,0.15323,0.25884,0.21052,0.66026,0,0.00043325,0.00043325,0.00043325
35,7348.79,0.2109,0.19304,0.25699,0.81342,0,0.99821,0.99635,0.995,0.98985,0.99821,0.99635,0.995,0.97761,0.15059,0.22289,0.2064,0.66177,0,0.0004085,0.0004085,0.0004085
36,7814.08,0.21405,0.19329,0.25087,0.80926,0,0.99845,0.99624,0.995,0.9925,0.99845,0.99624,0.995,0.98602,0.1675,0.20982,0.1992,0.66564,0,0.00038375,0.00038375,0.00038375
37,7993.24,0.20223,0.18512,0.25225,0.81447,0,0.99865,0.99628,0.995,0.99239,0.99865,0.99628,0.995,0.99136,0.13545,0.22366,0.21166,0.6538,0,0.000359,0.000359,0.000359
38,8067.19,0.19854,0.19064,0.2422,0.80633,0,0.99802,0.99699,0.995,0.99197,0.99802,0.99699,0.995,0.99018,0.14343,0.22089,0.20284,0.65615,0,0.00033425,0.00033425,0.00033425
39,8142.25,0.1996,0.18349,0.24111,0.8125,0,0.99754,0.99641,0.995,0.99147,0.99754,0.99641,0.995,0.99204,0.14011,0.2059,0.22324,0.6577,0,0.0003095,0.0003095,0.0003095
40,8216.96,0.194,0.17959,0.22995,0.81237,0,0.99767,0.99667,0.995,0.99153,0.99767,0.99667,0.995,0.98444,0.15543,0.21189,0.20107,0.66459,0,0.00028475,0.00028475,0.00028475
41,8294.23,0.16231,0.16688,0.24331,0.78609,0,0.99696,0.99687,0.995,0.99294,0.99696,0.99687,0.995,0.95436,0.15958,0.21422,0.21387,0.6659,0,0.00026,0.00026,0.00026
42,8372.54,0.15891,0.16986,0.2376,0.7878,0,0.99777,0.99621,0.995,0.99329,0.99777,0.99621,0.995,0.95711,0.13245,0.21327,0.19336,0.65499,0,0.00023525,0.00023525,0.00023525
43,8449.38,0.15477,0.15754,0.22258,0.78924,0,0.99849,0.99637,0.995,0.99158,0.99849,0.99637,0.995,0.96435,0.13797,0.21285,0.21058,0.65533,0,0.0002105,0.0002105,0.0002105
44,8528.17,0.14682,0.15377,0.21558,0.7827,0,0.9988,0.99657,0.995,0.9917,0.9988,0.99657,0.995,0.96115,0.13294,0.22785,0.20703,0.6605,0,0.00018575,0.00018575,0.00018575
45,8605.22,0.14694,0.16359,0.21547,0.78554,0,0.99839,0.9966,0.995,0.9918,0.99839,0.9966,0.995,0.95356,0.12338,0.22248,0.17197,0.6529,0,0.000161,0.000161,0.000161
46,8682.41,0.14225,0.15825,0.20888,0.77757,0,0.9986,0.99639,0.995,0.99135,0.9986,0.99639,0.995,0.95684,0.12663,0.21296,0.17812,0.65691,0,0.00013625,0.00013625,0.00013625
47,8760.14,0.13522,0.15132,0.20321,0.77476,0,0.99858,0.99626,0.995,0.99433,0.99858,0.99626,0.995,0.96668,0.10937,0.20791,0.16132,0.65161,0,0.0001115,0.0001115,0.0001115
48,8837.1,0.13332,0.14986,0.19785,0.79059,0,0.99823,0.99658,0.995,0.99335,0.99823,0.99658,0.995,0.98314,0.11466,0.20752,0.16206,0.65321,0,8.675e-05,8.675e-05,8.675e-05
49,8914.05,0.13686,0.15502,0.19839,0.78284,0,0.99785,0.99654,0.995,0.99278,0.99785,0.99654,0.995,0.98242,0.11368,0.20716,0.16267,0.65133,0,6.2e-05,6.2e-05,6.2e-05
50,8992.07,0.12755,0.1497,0.18827,0.77921,0,0.99784,0.99667,0.995,0.99272,0.99784,0.99667,0.995,0.98366,0.10893,0.18832,0.15276,0.64967,0,3.725e-05,3.725e-05,3.725e-05
